,ds,yhat,yhat_lower,yhat_upper
2015,1984-07-20,18.307002484016675,16.609370272954568,19.988933419569626
2016,1984-07-21,18.285814935152885,16.57714893915779,20.009710642168518
2017,1984-07-22,18.36225823453457,16.577666786680403,20.07856176885589
2018,1984-07-23,18.416415382932094,16.715402705397622,20.246278039478838
2019,1984-07-24,18.44652732211804,16.81530842272768,20.24781548277962
2020,1984-07-25,18.52707684064358,16.809813541617306,20.14685157550289
2021,1984-07-26,18.54863082025773,16.891080145093785,20.38489095293097
2022,1984-07-27,18.52775150583896,16.840319318794695,20.277443838358472
2023,1984-07-28,18.48701313716347,16.682811693512306,20.299213969620794
2024,1984-07-29,18.542509948234592,16.689493004521943,20.252635885051372
2025,1984-07-30,18.57411552800416,16.815570730533047,20.29959067975786
2026,1984-07-31,18.579893781148265,16.870248651663058,20.311624801122488
2027,1984-08-01,18.634189565749868,16.933493793647767,20.312355069854338
2028,1984-08-02,18.627476587625843,16.954357904094888,20.407425691227782
2029,1984-08-03,18.57627307027105,16.797441571094534,20.19583203890737
2030,1984-08-04,18.503161411581004,16.703789159430247,20.27275298702984
2031,1984-08-05,18.52429774608525,16.88191887297429,20.264211052180688
2032,1984-08-06,18.519671361927784,16.94992111942215,20.267468283403947
2033,1984-08-07,18.48751421005666,16.724734225962795,20.351434133211256
2034,1984-08-08,18.50238862438162,16.73043942208835,20.268204612656287
2035,1984-08-09,18.455030916127193,16.654547403757164,20.333556561063414
2036,1984-08-10,18.362261483705957,16.49947921891639,20.121117128495364
2037,1984-08-11,18.246997806662492,16.636805145652314,19.888669267390625
2038,1984-08-12,18.22575643004601,16.52076743088715,19.85802967625485
2039,1984-08-13,18.17890410066898,16.49280322714339,19.99007536361323
2040,1984-08-14,18.105058523237446,16.363703082482523,19.912079729162738
2041,1984-08-15,18.079167097171183,16.38573917006355,19.815743594903292
2042,1984-08-16,17.992341543900356,16.2378197649839,19.653424784730262
2043,1984-08-17,17.861759309932445,16.094175981483573,19.501244302342478
2044,1984-08-18,17.710668348670538,16.044659599577415,19.60830141807241
2045,1984-08-19,17.655881605636658,15.887983856599083,19.3868821887846
2046,1984-08-20,17.578021564668237,15.753951712685472,19.298939362273824
2047,1984-08-21,17.475915491640734,15.838155961019867,19.298559416029825
2048,1984-08-22,17.424669873081548,15.69812073612813,19.118998777934316
2049,1984-08-23,17.315502060475914,15.619143476606526,19.003543539145376
2050,1984-08-24,17.165640068602247,15.390633267487813,18.99901250112952
